Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Starts,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,ShortCmp,ShortAtt,ShortCmp%,ShortTotDist,ShortPrgDist,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,CPA,Mis,Dis,Rec,Dead,TB,Sw,Crs,TI,In,Out,Str,Off,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG
Aarón Escandell,es,GK,0,Las Palmas,La Liga,27.0,1995.0,2.0,1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.5,0.62,-0.5,-0.3,9.0,26.0,34.6,73.0,10.0,27.4,30.4,24.0,1.0,4.2,4.0,2.35,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,86.0,74.4,1579.0,1172.0,15.0,15.0,100.0,29.0,29.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,88.0,69.0,0.0,88.0,0.0,0.0,0.0,0.0,42.0,156.0,108.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,4.5,90.0,1.0,1.0,63.0,33.0,0.33,1.0,4.0,-3.0,-1.76,-1.46,0.3,3.7,-3.5,-2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aarón Martín,es,DF,FW,Genoa,Serie A,27.0,1997.0,22.0,17.0,15.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.2,0.2,1.7,1.9,28.0,35.0,72.0,0.07,0.12,21.0,10.0,166.0,288.0,255.0,9.0,22.0,40.9,13.0,12.0,4.0,8.0,9.0,30.0,15.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,216.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.16,20.0,12.0,1.0,0.0,0.0,2.0,0.13,431.0,619.0,69.6,7748.0,2727.0,195.0,216.0,90.3,169.0,227.0,74.4,1.7,-0.7,26.0,26.0,16.0,11.0,703.0,26.0,10.0,703.0,6.0,50.0,6.0,50.0,367.0,1839.0,972.0,3.0,12.0,4.0,432.0,82.0,0.0,1.0,61.0,44.0,7.0,10.0,0.0,3.0,63.0,40.2,76.0,7.0,5.0,17.0,10.0,1.27,22.0,20.0,2.0,0.13,0.22,14.2,19.4,-5.2,-0.34,0.0,0.0,0.33,0.0,0.0,0.0,24.8,0.03,-0.2,-0.2
Abakar Sylla,ci,DF,0,Strasbourg,Ligue 1,21.0,2002.0,22.0,19.0,19.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,0.5,2.0,8.0,72.0,2.0,0.1,0.1,54.0,23.0,717.0,729.0,56.0,29.0,40.0,72.5,11.0,40.0,11.0,29.0,26.0,80.0,70.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.7,12.0,0.0,0.0,0.0,2.0,1.0,0.05,1111.0,1266.0,87.8,19769.0,6698.0,436.0,473.0,92.2,567.0,618.0,91.7,0.2,-0.5,5.0,52.0,4.0,0.0,1490.0,201.0,18.0,1490.0,9.0,69.2,4.0,30.8,1060.0,5999.0,3215.0,0.0,14.0,7.0,962.0,42.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,81.0,58.6,88.0,16.0,3.0,42.0,9.0,1.18,24.0,32.0,-8.0,-0.4,-0.12,26.8,26.4,0.5,0.02,5.0,45.5,0.55,0.25,0.18,0.4,14.6,0.14,0.4,0.4
Abdallah Sima,sn,FW,MF,Brest,Ligue 1,23.0,2001.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abde Ezzalzouli,ma,FW,MF,Barcelona,La Liga,21.0,2001.0,2.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,7.0,1.0,12.0,0.0,0.37,1.0,1.0,2.0,13.0,39.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,37.0,62.2,289.0,83.0,18.0,23.0,78.3,4.0,8.0,50.0,0.0,-0.1,2.0,3.0,2.0,1.0,54.0,0.0,7.0,54.0,2.0,50.0,2.0,50.0,41.0,302.0,143.0,4.0,4.0,2.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,2.0,34.0,1.0,2.0,2.0,0.0,2.0,2.65,1.76,2.2,0.2,2.0,2.66,1.0,25.0,5.29,1.32,0.0,0.0,19.1,0.05,-0.2,-0.2
Abde Ezzalzouli,ma,FW,MF,Betis,La Liga,22.0,2001.0,26.0,6.0,9.6,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.2,0.3,2.5,57.0,25.0,89.0,0.1,0.34,17.0,14.0,58.0,194.0,271.0,4.0,14.0,28.6,11.0,33.0,0.0,10.0,5.0,22.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,215.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.08,12.0,1.0,3.0,3.0,0.0,2.0,0.21,232.0,353.0,65.7,2777.0,769.0,159.0,204.0,77.9,51.0,77.0,66.2,0.5,-0.3,4.0,34.0,9.0,1.0,518.0,7.0,60.0,517.0,21.0,42.0,23.0,46.0,300.0,2801.0,1587.0,35.0,29.0,31.0,377.0,14.0,0.0,1.0,17.0,11.0,0.0,0.0,0.0,1.0,33.0,25.3,70.0,1.0,20.0,22.0,4.0,1.35,11.0,9.0,2.0,0.21,0.17,11.4,12.7,-1.3,-0.13,8.0,24.2,3.43,0.83,0.03,0.13,17.8,0.07,-2.0,-1.2
Abdel Abqar,ma,DF,0,Alavés,La Liga,25.0,1999.0,27.0,27.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5,0.5,0.2,0.6,7.0,49.0,1.0,0.0,0.02,35.0,19.0,570.0,422.0,42.0,21.0,35.0,60.0,14.0,31.0,26.0,5.0,23.0,58.0,115.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.47,9.0,0.0,0.0,1.0,0.0,0.0,0.0,553.0,762.0,72.6,12370.0,4872.0,141.0,164.0,86.0,302.0,339.0,89.1,0.2,-0.2,3.0,61.0,2.0,0.0,1032.0,191.0,21.0,1032.0,3.0,60.0,1.0,20.0,492.0,2460.0,1418.0,0.0,15.0,1.0,499.0,14.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,86.0,67.6,86.0,23.0,0.0,0.0,4.0,1.07,21.0,30.0,-9.0,-0.35,-0.27,27.0,30.7,-3.8,-0.15,3.0,30.0,0.39,0.12,0.0,0.0,12.1,0.05,-0.5,-0.5
Abdelhamid Sabiri,ma,MF,0,Fiorentina,Serie A,26.0,1996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdellah Baallal,ma,MF,0,Clermont Foot,Ligue 1,18.0,2004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,40.0,0.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,17.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1,0.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdellah Raihani,ma,FW,0,Atlético Madrid,La Liga,19.0,2004.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.3,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,-1.0,-9.0,-9.74,0.1,0.0,0.1,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abderrahman Rebbach,dz,FW,MF,Alavés,La Liga,26.0,1998.0,23.0,6.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,1.8,2.6,34.0,14.0,78.0,0.12,0.33,9.0,5.0,46.0,102.0,198.0,5.0,15.0,33.3,10.0,17.0,1.0,9.0,3.0,12.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,43.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.61,15.0,7.0,4.0,1.0,0.0,0.0,0.0,124.0,225.0,55.1,2213.0,845.0,63.0,84.0,75.0,40.0,67.0,59.7,1.7,-1.8,18.0,15.0,6.0,3.0,343.0,6.0,36.0,343.0,10.0,35.7,16.0,57.1,180.0,1419.0,763.0,18.0,28.0,12.0,196.0,10.0,0.0,1.0,11.0,2.0,4.0,0.0,0.0,0.0,31.0,21.1,64.0,0.0,17.0,20.0,15.0,0.7,5.0,6.0,-1.0,-0.12,0.18,7.5,6.8,0.7,0.09,4.0,23.5,2.12,0.5,0.06,0.25,19.4,0.05,0.2,0.2
