Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Starts,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,ShortCmp,ShortAtt,ShortCmp%,ShortTotDist,ShortPrgDist,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,CPA,Mis,Dis,Rec,Dead,TB,Sw,Crs,TI,In,Out,Str,Off,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG
Domenico Criscito,it,DF,0,Genoa,Serie A,34.0,1986.0,23.0,20.0,19.2,1.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.9,0.1,0.4,0.6,39.0,83.0,18.0,0.0,0.07,43.0,22.0,521.0,639.0,132.0,22.0,39.0,56.4,17.0,27.0,14.0,13.0,44.0,87.0,51.0,0.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,872.0,1086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.39,15.0,4.0,0.0,1.0,2.0,2.0,0.11,872.0,1086.0,80.3,16300.0,6632.0,353.0,390.0,90.5,395.0,454.0,87.0,0.8,-0.4,6.0,89.0,12.0,4.0,1279.0,120.0,6.0,1278.0,4.0,50.0,4.0,50.0,681.0,3551.0,2217.0,0.0,10.0,4.0,792.0,82.0,0.0,5.0,27.0,33.0,0.0,1.0,0.0,9.0,75.0,50.5,83.0,17.0,3.0,19.0,2.0,1.43,26.0,22.0,4.0,0.21,1.01,20.8,27.1,-6.2,-0.32,1.0,20.0,0.26,0.05,0.0,0.0,29.2,0.03,0.1,-0.1
Domingos Duarte,pt,DF,0,Granada,La Liga,26.0,1995.0,29.0,27.0,26.3,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.4,1.4,0.5,1.9,17.0,79.0,3.0,0.04,0.07,32.0,20.0,570.0,564.0,36.0,14.0,21.0,66.7,9.0,29.0,20.0,9.0,29.0,61.0,86.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0,964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,8.0,1.0,0.0,0.0,0.0,0.0,0.0,742.0,964.0,77.0,15218.0,5887.0,231.0,263.0,87.8,385.0,443.0,86.9,0.2,-0.5,6.0,58.0,4.0,1.0,1165.0,144.0,10.0,1165.0,2.0,100.0,0.0,0.0,577.0,3269.0,1960.0,0.0,6.0,4.0,619.0,46.0,0.0,8.0,1.0,6.0,0.0,0.0,0.0,3.0,81.0,69.1,87.0,23.0,2.0,9.0,1.0,1.14,31.0,48.0,-17.0,-0.65,-0.56,28.8,37.4,-8.7,-0.33,2.0,33.3,0.23,0.08,0.17,0.5,8.4,0.23,-0.4,-0.4
Domingos Quina,pt,MF,0,Granada,La Liga,20.0,1999.0,8.0,5.0,3.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.5,5.0,10.0,14.0,0.53,0.13,5.0,5.0,12.0,67.0,61.0,3.0,6.0,50.0,4.0,8.0,0.0,8.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,91.0,74.7,1052.0,210.0,38.0,46.0,82.6,19.0,27.0,70.4,0.3,-0.2,5.0,6.0,4.0,0.0,138.0,2.0,7.0,138.0,6.0,85.7,1.0,14.3,90.0,436.0,136.0,4.0,8.0,11.0,92.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,10.0,60.0,0.0,3.0,14.0,8.0,0.75,5.0,8.0,-3.0,-0.79,-0.35,3.9,4.3,-0.5,-0.12,3.0,37.5,2.11,0.79,0.25,0.67,21.7,0.04,1.7,1.7
Dominic Calvert-Lewin,eng,FW,0,Everton,Premier League,24.0,1997.0,33.0,32.0,31.9,16.0,0.0,16.0,16.0,0.0,0.0,3.0,0.0,16.3,16.3,2.0,18.3,36.0,46.0,160.0,0.5,0.57,17.0,8.0,92.0,452.0,508.0,6.0,12.0,50.0,22.0,83.0,6.0,16.0,6.0,23.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,469.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.1,22.0,0.0,2.0,4.0,1.0,4.0,0.28,469.0,691.0,67.9,6095.0,1186.0,287.0,388.0,74.0,112.0,167.0,67.1,2.1,-2.0,18.0,36.0,12.0,1.0,1044.0,44.0,144.0,1044.0,22.0,44.9,27.0,55.1,530.0,2945.0,953.0,16.0,102.0,29.0,829.0,5.0,1.0,2.0,9.0,2.0,0.0,0.0,0.0,5.0,87.0,83.9,89.0,26.0,1.0,29.0,0.0,1.64,41.0,39.0,2.0,0.06,0.55,40.7,41.8,-1.1,-0.03,46.0,55.4,2.6,1.44,0.19,0.35,12.2,0.2,-0.3,-0.3
Dominic Thompson,eng,DF,0,Brentford,Premier League,21.0,2000.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominick Drexler,de,MF,FW,Köln,Bundesliga,30.0,1990.0,27.0,11.0,13.7,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.1,2.1,2.7,4.8,33.0,56.0,98.0,0.22,0.35,36.0,26.0,132.0,314.0,260.0,12.0,30.0,40.0,18.0,12.0,1.0,4.0,14.0,50.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,547.0,75.7,6006.0,1468.0,232.0,270.0,85.9,130.0,168.0,77.4,2.7,-1.7,16.0,23.0,18.0,5.0,691.0,24.0,43.0,691.0,8.0,42.1,11.0,57.9,398.0,2084.0,956.0,8.0,24.0,20.0,470.0,26.0,1.0,2.0,37.0,19.0,0.0,0.0,0.0,1.0,46.0,40.3,77.0,2.0,16.0,24.0,7.0,1.04,12.0,21.0,-9.0,-0.66,0.18,17.0,21.7,-4.7,-0.34,2.0,16.7,0.88,0.15,0.17,1.0,13.6,0.17,-0.1,-0.1
Dominik Greif,sk,GK,0,Mallorca,La Liga,24.0,1997.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominik Kohr,de,MF,DF,Eint Frankfurt,Bundesliga,26.0,1994.0,7.0,2.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,24.0,12.0,0.0,0.36,11.0,7.0,33.0,126.0,65.0,4.0,9.0,44.4,5.0,5.0,1.0,4.0,9.0,20.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,172.0,76.2,2081.0,693.0,71.0,87.0,81.6,46.0,58.0,79.3,0.1,0.0,1.0,25.0,0.0,0.0,223.0,8.0,7.0,223.0,3.0,75.0,1.0,25.0,85.0,406.0,190.0,1.0,7.0,0.0,139.0,5.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,37.0,8.5,68.0,1.0,5.0,25.0,8.0,1.29,3.0,5.0,-2.0,-0.69,-1.27,6.6,4.4,2.2,0.75,0.0,0.0,1.73,0.0,0.0,0.0,19.5,0.2,-1.0,-1.0
Dominik Kohr,de,MF,0,Mainz 05,Bundesliga,27.0,1994.0,17.0,14.0,17.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.7,1.6,17.0,62.0,25.0,0.14,0.12,47.0,31.0,157.0,414.0,146.0,20.0,39.0,51.3,19.0,18.0,5.0,13.0,27.0,74.0,15.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.57,36.0,1.0,1.0,2.0,2.0,10.0,0.56,392.0,539.0,72.7,5953.0,2230.0,216.0,261.0,82.8,125.0,176.0,71.0,1.7,0.3,7.0,64.0,5.0,0.0,716.0,36.0,20.0,716.0,4.0,50.0,4.0,50.0,303.0,1378.0,688.0,4.0,23.0,15.0,387.0,7.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,75.0,41.4,88.0,12.0,3.0,12.0,0.0,1.88,22.0,18.0,4.0,0.28,1.34,24.6,16.8,7.8,0.55,3.0,18.8,1.14,0.21,0.06,0.33,22.7,0.06,0.1,0.1
Dominik Szoboszlai,hu,MF,FW,RB Leipzig,Bundesliga,20.0,2000.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,4.61,47.0,25.0,3.0,2.0,0.0,13.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
