Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,ShortCmp,ShortAtt,ShortCmp%,ShortTotDist,ShortPrgDist,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,CPA,Mis,Dis,Rec,Dead,TB,Sw,Crs,TI,In,Out,Str,Off,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG
Toni Villa,es,MF,0,Valladolid,La Liga,27.0,1995.0,2.0,22.0,91.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,0.0,0.02,6.0,3.0,7.0,17.0,22.0,4.0,9.0,44.4,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.96,3.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,32.0,62.5,258.0,109.0,13.0,16.0,81.3,5.0,8.0,62.5,0.0,0.0,1.0,2.0,0.0,0.0,45.0,0.0,1.0,45.0,1.0,20.0,3.0,60.0,27.0,126.0,56.0,0.0,1.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,45.0,5.0,1.0,20.0,3.0,60.0,27.0,126.0,56.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tonny Vilhena,nl,MF,0,Salernitana,Serie A,27.0,1995.0,33.0,294.0,2265.0,609.0,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,2.4,2.4,1.7,4.1,30.0,80.0,59.0,0.2,0.16,44.0,22.0,202.0,609.0,294.0,20.0,50.0,40.0,30.0,31.0,7.0,10.0,18.0,62.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.11,37.0,9.0,3.0,3.0,0.0,3.0,0.12,662.0,864.0,76.6,10869.0,3264.0,344.0,392.0,87.8,224.0,269.0,83.3,1.6,-0.7,19.0,64.0,14.0,6.0,1091.0,32.0,19.0,1091.0,17.0,43.6,19.0,48.7,591.0,3063.0,1302.0,3.0,37.0,24.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,202.0,19.0,1091.0,39.0,17.0,43.6,19.0,48.7,591.0,3063.0,1302.0,30.0,35.0,3.0,37.0,24.0,9.0,29.0,1.23,0.36,0.13,0.44,26.0,0.08,1.6,1.6
Tony Jantschke,de,DF,MF,Gladbach,Bundesliga,33.0,1990.0,8.0,3.0,99.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,57.0,39.0,3.0,1.0,1.0,100.0,0.0,5.0,3.0,2.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,86.0,91.9,1453.0,438.0,26.0,27.0,96.3,45.0,48.0,93.8,0.0,0.0,0.0,1.0,0.0,0.0,99.0,11.0,0.0,99.0,0.0,0.0,0.0,0.0,59.0,217.0,70.0,0.0,0.0,0.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,59.0,217.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Rölke,de,FW,0,Hertha BSC,Bundesliga,19.0,2003.0,1.0,1.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,60.0,0.0,3.0,5.0,60.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Strata,ro,MF,DF,Ajaccio,Ligue 1,17.0,2004.0,3.0,1.0,138.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.02,4.0,3.0,30.0,22.0,0.0,4.0,5.0,80.0,1.0,2.0,0.0,2.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,37.0,78.4,453.0,124.0,14.0,14.0,100.0,11.0,14.0,78.6,0.0,0.0,1.0,1.0,0.0,0.0,51.0,7.0,0.0,51.0,0.0,0.0,0.0,0.0,31.0,170.0,105.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,31.0,170.0,105.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tosin Adarabioyo,eng,DF,0,Fulham,Premier League,25.0,1997.0,25.0,47.0,2085.0,735.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.4,1.1,16.0,95.0,3.0,0.04,0.05,30.0,13.0,776.0,735.0,47.0,16.0,23.0,69.6,8.0,20.0,15.0,5.0,26.0,56.0,140.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.78,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.0,1300.0,82.0,22623.0,8478.0,265.0,307.0,86.3,653.0,735.0,88.8,0.5,-0.4,6.0,96.0,7.0,0.0,1545.0,231.0,19.0,1545.0,9.0,81.8,2.0,18.2,834.0,4470.0,2733.0,1.0,4.0,4.0,975.0,33.0,1.0,9.0,1.0,2.0,0.0,0.0,0.0,2.0,231.0,776.0,19.0,1545.0,11.0,9.0,81.8,2.0,18.2,834.0,4470.0,2733.0,16.0,12.0,1.0,4.0,4.0,4.0,25.0,0.69,0.17,0.06,0.25,21.2,0.04,0.3,0.3
Tosin Aiyegun,bj,MF,FW,Lorient,Ligue 1,25.0,1998.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toti Gomes,pt,DF,0,Wolves,Premier League,24.0,1999.0,17.0,100.0,984.0,278.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,0.3,0.7,4.0,27.0,23.0,0.09,0.06,15.0,9.0,313.0,278.0,100.0,9.0,13.0,69.2,22.0,16.0,8.0,8.0,11.0,26.0,51.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1516.0,1847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.82,9.0,0.0,0.0,0.0,0.0,1.0,0.09,460.0,555.0,82.9,7615.0,2848.0,221.0,256.0,86.3,202.0,229.0,88.2,0.3,-0.3,4.0,27.0,8.0,4.0,688.0,86.0,15.0,1685.0,9.0,56.3,6.0,37.5,332.0,1521.0,924.0,0.0,6.0,3.0,402.0,158.0,1.0,5.0,13.0,117.0,0.0,0.0,0.0,4.0,86.0,313.0,15.0,688.0,16.0,9.0,56.3,6.0,37.5,332.0,1521.0,924.0,4.0,11.0,0.0,6.0,3.0,2.0,40.0,0.46,0.18,0.2,0.5,9.9,0.08,0.6,0.6
Trent Alexander-Arnold,eng,DF,0,Liverpool,Premier League,24.0,1998.0,37.0,837.0,3180.0,1631.0,2.0,9.0,11.0,2.0,0.0,0.0,5.0,0.0,2.4,2.4,11.5,13.8,43.0,235.0,139.0,0.34,0.43,57.0,40.0,737.0,1631.0,837.0,42.0,80.0,52.5,38.0,40.0,7.0,18.0,43.0,100.0,41.0,0.0,0.0,77.0,71.0,0.0,0.0,0.0,0.0,0.0,1553.0,2062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,3.82,81.0,34.0,3.0,1.0,0.0,17.0,0.52,2188.0,2912.0,75.1,41590.0,16323.0,1000.0,1123.0,89.0,822.0,1045.0,78.7,9.1,-2.5,71.0,239.0,82.0,28.0,3180.0,89.0,44.0,3180.0,30.0,66.7,13.0,28.9,1778.0,6848.0,3312.0,8.0,35.0,21.0,2042.0,346.0,22.0,32.0,168.0,198.0,10.0,52.0,0.0,11.0,89.0,737.0,44.0,3180.0,45.0,30.0,66.7,13.0,28.9,1778.0,6848.0,3312.0,43.0,39.0,8.0,35.0,21.0,8.0,20.0,1.23,0.25,0.05,0.25,23.8,0.06,-0.4,-0.4
Trevoh Chalobah,eng,DF,0,Chelsea,Premier League,24.0,1999.0,25.0,167.0,1608.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.3,1.2,17.0,71.0,27.0,0.0,0.06,31.0,20.0,602.0,604.0,167.0,24.0,35.0,68.6,11.0,17.0,7.0,10.0,24.0,55.0,56.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.9,11.0,0.0,1.0,2.0,0.0,3.0,0.17,1051.0,1200.0,87.6,18603.0,5316.0,419.0,467.0,89.7,551.0,594.0,92.8,0.3,-0.3,4.0,64.0,3.0,1.0,1369.0,135.0,23.0,1369.0,8.0,80.0,1.0,10.0,784.0,2679.0,1393.0,1.0,6.0,5.0,973.0,36.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,135.0,602.0,23.0,1369.0,10.0,8.0,80.0,1.0,10.0,784.0,2679.0,1393.0,17.0,13.0,1.0,6.0,5.0,2.0,22.2,0.5,0.11,0.0,0.0,9.6,0.1,-0.9,-0.9
